age	credit	debt	savings	result
55.0	755.0	2.123	7.48	Loan Approved
47.0	791.0	2.941	7.027	Loan Approved
43.0	783.0	5.083	2.345	Denied
42.0	732.0	3.046	7.24	Loan Approved
47.0	730.0	11.018	10.247	Denied
51.0	757.0	2.903	3.643	Loan Approved
41.0	714.0	9.577	3.693	Loan Approved
53.0	668.0	10.993	9.076	Loan Approved
30.0	706.0	8.925	2.046	Denied
50.0	722.0	10.691	3.889	Denied
48.0	769.0	1.363	0.0	Loan Approved
28.0	698.0	7.726	12.795	Loan Approved
56.0	765.0	1.714	13.891	Loan Approved
29.0	636.0	4.899	2.797	Loan Approved
52.0	684.0	9.128	4.006	Loan Approved
56.0	730.0	8.874	8.78	Loan Approved
39.0	712.0	3.293	7.372	Loan Approved
40.0	740.0	5.697	11.662	Loan Approved
30.0	704.0	2.977	13.032	Loan Approved
34.0	779.0	10.885	12.491	Loan Approved
36.0	744.0	12.069	3.578	Loan Approved
40.0	715.0	5.185	1.745	Loan Approved
29.0	691.0	10.753	10.35	Denied
53.0	667.0	8.561	4.791	Denied
42.0	748.0	8.54	10.036	Loan Approved
45.0	773.0	5.804	13.455	Loan Approved
31.0	671.0	5.2	2.525	Loan Approved
51.0	740.0	10.309	6.288	Loan Approved
31.0	629.0	11.537	0.818	Denied
54.0	635.0	8.097	5.442	Denied
41.0	701.0	13.122	7.783	Loan Approved
33.0	730.0	10.476	7.716	Denied
58.0	724.0	5.14	5.386	Loan Approved
26.0	659.0	10.419	2.251	Loan Approved
25.0	726.0	11.292	5.71	Denied
49.0	668.0	0.0	8.354	Loan Approved
45.0	720.0	15.848	21.202	Loan Approved
55.0	732.0	4.512	6.48	Loan Approved
37.0	724.0	3.179	7.438	Denied
38.0	672.0	0.674	6.739	Loan Approved
37.0	665.0	8.875	5.218	Denied
53.0	665.0	9.367	0.0	Loan Approved
28.0	716.0	10.244	8.319	Loan Approved
55.0	822.0	3.128	9.72	Loan Approved
32.0	735.0	10.439	7.256	Loan Approved
28.0	571.0	14.264	2.072	Denied
38.0	736.0	8.767	0.0	Loan Approved
58.0	678.0	7.082	5.887	Loan Approved
54.0	726.0	6.176	9.011	Loan Approved
43.0	695.0	12.637	2.627	Denied
50.0	827.0	8.63	10.931	Denied
55.0	525.0	18.27	1.931	Denied
39.0	782.0	4.818	14.636	Loan Approved
53.0	717.0	9.403	4.819	Denied
45.0	640.0	8.504	10.223	Loan Approved
42.0	728.0	5.112	5.621	Loan Approved
40.0	746.0	4.383	6.138	Loan Approved
28.0	670.0	9.695	3.683	Denied
50.0	751.0	0.0	9.709	Loan Approved
44.0	626.0	10.497	0.81	Denied
46.0	720.0	13.033	2.731	Denied
53.0	801.0	10.532	0.932	Loan Approved
41.0	668.0	10.898	6.022	Denied
32.0	694.0	4.338	8.904	Loan Approved
54.0	716.0	8.739	8.772	Loan Approved
37.0	690.0	7.758	0.0	Loan Approved
53.0	688.0	10.621	0.66	Denied
51.0	715.0	3.348	12.842	Loan Approved
32.0	610.0	11.271	6.535	Denied
26.0	770.0	3.703	6.769	Loan Approved
27.0	733.0	9.705	8.914	Loan Approved
27.0	714.0	7.443	8.508	Denied
57.0	698.0	6.975	11.397	Loan Approved
55.0	753.0	13.023	8.145	Denied
36.0	668.0	11.539	8.829	Loan Approved
41.0	639.0	12.677	8.856	Denied
48.0	700.0	0.0	10.201	Loan Approved
29.0	719.0	4.653	13.644	Loan Approved
24.0	699.0	13.206	8.774	Denied
32.0	701.0	13.402	10.959	Denied
50.0	659.0	4.477	10.827	Loan Approved
43.0	680.0	9.78	11.699	Loan Approved
52.0	683.0	13.97	9.448	Loan Approved
42.0	735.0	12.763	7.884	Denied
54.0	766.0	6.505	7.964	Denied
25.0	645.0	13.948	14.996	Denied
29.0	643.0	3.217	7.095	Loan Approved
26.0	647.0	9.39	8.798	Denied
38.0	669.0	15.284	8.062	Denied
56.0	611.0	1.765	6.299	Loan Approved
52.0	663.0	17.868	5.38	Loan Approved
55.0	757.0	11.687	7.594	Denied
27.0	600.0	6.013	11.261	Loan Approved
26.0	708.0	14.854	15.229	Loan Approved
41.0	746.0	8.392	1.683	Loan Approved
30.0	768.0	8.903	14.638	Loan Approved
27.0	657.0	3.547	0.0	Denied
52.0	758.0	6.197	9.215	Loan Approved
35.0	758.0	7.822	11.155	Loan Approved
27.0	640.0	8.026	5.071	Denied
56.0	679.0	6.804	10.969	Loan Approved
36.0	740.0	6.79	10.108	Loan Approved
25.0	670.0	8.484	6.887	Loan Approved
26.0	622.0	15.336	5.968	Denied
54.0	697.0	1.191	12.433	Loan Approved
40.0	722.0	4.936	11.672	Loan Approved
44.0	769.0	5.01	5.572	Loan Approved
24.0	726.0	5.516	7.775	Loan Approved
38.0	680.0	0.0	0.164	Loan Approved
32.0	763.0	9.03	13.671	Loan Approved
39.0	703.0	11.259	7.8	Denied
27.0	594.0	7.657	5.864	Loan Approved
26.0	763.0	5.431	8.287	Loan Approved
53.0	729.0	13.13	6.629	Denied
47.0	631.0	8.886	11.774	Loan Approved
31.0	751.0	12.187	15.098	Loan Approved
54.0	715.0	9.328	7.905	Loan Approved
39.0	732.0	5.979	12.665	Loan Approved
43.0	689.0	9.917	2.012	Denied
35.0	696.0	5.576	3.666	Loan Approved
24.0	696.0	5.001	5.59	Loan Approved
55.0	793.0	3.649	2.778	Loan Approved
58.0	778.0	15.34	14.006	Denied
43.0	682.0	0.0	4.988	Loan Approved
46.0	712.0	4.878	8.193	Loan Approved
41.0	670.0	10.074	7.421	Denied
52.0	745.0	9.287	10.055	Loan Approved
56.0	632.0	12.555	4.366	Denied
30.0	735.0	3.73	11.545	Loan Approved
48.0	800.0	1.599	16.571	Loan Approved
36.0	683.0	7.184	9.033	Loan Approved
41.0	727.0	6.606	4.351	Loan Approved
27.0	740.0	6.39	6.677	Loan Approved
53.0	623.0	7.759	6.0	Loan Approved
26.0	704.0	10.775	5.5	Loan Approved
34.0	679.0	12.827	10.363	Denied
30.0	619.0	9.173	13.775	Denied
47.0	850.0	5.086	10.239	Loan Approved
46.0	759.0	8.775	14.431	Loan Approved
41.0	722.0	6.731	13.864	Loan Approved
42.0	679.0	4.485	10.839	Loan Approved
29.0	694.0	6.824	6.564	Loan Approved
35.0	811.0	9.748	12.965	Loan Approved
58.0	681.0	6.77	4.902	Loan Approved
30.0	690.0	6.717	5.469	Denied
56.0	640.0	5.718	8.926	Loan Approved
25.0	780.0	5.255	6.113	Denied
31.0	704.0	7.999	12.596	Loan Approved
27.0	682.0	9.26	2.578	Loan Approved
46.0	707.0	6.232	3.996	Loan Approved
30.0	692.0	9.47	7.852	Loan Approved
30.0	649.0	15.555	9.871	Denied
26.0	676.0	11.671	10.565	Denied
40.0	719.0	5.596	8.866	Loan Approved
52.0	683.0	16.485	8.202	Denied
35.0	732.0	8.917	1.942	Denied
31.0	730.0	3.197	5.127	Loan Approved
44.0	646.0	8.35	7.638	Denied
58.0	784.0	4.52	2.364	Loan Approved
44.0	698.0	7.028	3.979	Denied
35.0	657.0	7.936	5.987	Denied
55.0	640.0	13.627	8.477	Loan Approved
30.0	674.0	4.855	8.872	Loan Approved
38.0	657.0	1.714	5.029	Loan Approved
38.0	600.0	14.689	5.834	Denied
57.0	765.0	7.971	7.868	Loan Approved
26.0	735.0	6.805	7.495	Loan Approved
41.0	706.0	2.265	7.204	Loan Approved
46.0	716.0	5.146	11.957	Loan Approved
57.0	786.0	4.374	7.923	Loan Approved
31.0	686.0	6.718	6.402	Denied
48.0	672.0	3.97	8.063	Loan Approved
27.0	702.0	7.911	0.0	Denied
37.0	736.0	9.311	7.715	Denied
42.0	650.0	4.232	3.979	Loan Approved
52.0	638.0	11.293	2.531	Denied
27.0	667.0	15.8	2.506	Denied
59.0	718.0	8.908	5.318	Denied
36.0	657.0	11.252	7.025	Denied
26.0	728.0	6.545	6.574	Loan Approved
31.0	675.0	13.994	5.729	Denied
33.0	678.0	10.586	10.235	Loan Approved
43.0	676.0	5.611	3.747	Loan Approved
24.0	810.0	9.791	10.459	Loan Approved
39.0	807.0	0.0	17.795	Loan Approved
39.0	731.0	9.073	11.364	Denied
53.0	624.0	13.566	5.48	Denied
44.0	672.0	7.667	12.675	Loan Approved
43.0	666.0	5.799	0.211	Denied
27.0	723.0	14.41	11.981	Denied
45.0	675.0	8.784	7.739	Loan Approved
40.0	781.0	9.986	11.714	Loan Approved
47.0	700.0	4.663	8.669	Loan Approved
45.0	686.0	0.0	9.28	Loan Approved
35.0	631.0	15.039	2.219	Loan Approved
58.0	733.0	5.76	5.344	Loan Approved
30.0	690.0	9.894	6.422	Denied
45.0	589.0	6.395	6.703	Denied
55.0	702.0	6.107	8.188	Loan Approved
57.0	645.0	6.035	7.299	Loan Approved
39.0	717.0	8.734	13.44	Denied
54.0	645.0	12.718	6.383	Denied
41.0	693.0	13.439	2.501	Denied
51.0	652.0	12.597	3.905	Loan Approved
53.0	695.0	5.626	4.235	Loan Approved
39.0	737.0	13.983	10.603	Denied
24.0	705.0	9.962	3.666	Denied
37.0	749.0	9.97	5.152	Denied
44.0	718.0	10.682	8.798	Loan Approved
32.0	760.0	2.856	8.711	Loan Approved
30.0	750.0	8.389	11.927	Loan Approved
34.0	600.0	6.638	2.835	Loan Approved
41.0	706.0	4.019	2.762	Loan Approved
50.0	703.0	9.117	3.534	Denied
41.0	769.0	6.965	4.74	Loan Approved
48.0	749.0	15.632	12.788	Denied
57.0	688.0	7.079	9.055	Loan Approved
33.0	717.0	12.526	5.58	Loan Approved
49.0	671.0	10.937	1.697	Loan Approved
58.0	734.0	7.991	12.676	Loan Approved
35.0	749.0	12.229	10.889	Loan Approved
25.0	668.0	11.366	8.496	Denied
25.0	716.0	4.09	7.357	Denied
26.0	688.0	2.981	9.171	Loan Approved
41.0	791.0	10.287	16.575	Loan Approved
44.0	706.0	14.917	7.516	Denied
28.0	604.0	10.132	2.268	Denied
35.0	727.0	9.522	8.77	Loan Approved
32.0	622.0	6.157	5.39	Loan Approved
36.0	764.0	6.425	9.733	Loan Approved
47.0	624.0	11.487	0.44	Denied
38.0	716.0	12.299	6.337	Denied
49.0	734.0	4.392	11.02	Loan Approved
40.0	699.0	12.066	10.688	Loan Approved
25.0	579.0	13.311	0.525	Denied
31.0	760.0	4.2	10.092	Loan Approved
27.0	759.0	7.959	5.178	Loan Approved
55.0	675.0	15.647	0.544	Denied
35.0	710.0	4.5	3.694	Loan Approved
47.0	695.0	5.192	11.318	Loan Approved
59.0	705.0	3.728	3.246	Loan Approved
58.0	733.0	7.099	7.443	Loan Approved
53.0	708.0	10.127	0.0	Denied
39.0	641.0	9.629	4.296	Loan Approved
38.0	768.0	4.548	14.082	Loan Approved
25.0	687.0	4.097	3.65	Denied
43.0	611.0	5.258	13.154	Loan Approved
30.0	703.0	11.031	4.854	Denied
53.0	658.0	9.343	1.875	Loan Approved
31.0	695.0	12.388	8.396	Loan Approved
41.0	655.0	9.97	7.339	Loan Approved
56.0	659.0	7.106	9.611	Loan Approved
36.0	677.0	1.757	8.719	Loan Approved
51.0	690.0	5.73	0.933	Denied
49.0	730.0	6.037	16.622	Loan Approved
49.0	765.0	6.867	7.536	Loan Approved
56.0	732.0	10.635	9.944	Denied
36.0	655.0	0.0	5.305	Loan Approved
39.0	634.0	9.158	2.834	Loan Approved
42.0	778.0	5.814	14.048	Loan Approved
53.0	718.0	13.541	5.695	Loan Approved
30.0	742.0	3.425	12.213	Loan Approved
32.0	655.0	11.195	9.579	Denied
32.0	657.0	23.177	9.85	Denied
43.0	747.0	6.589	6.954	Loan Approved
49.0	694.0	6.402	7.249	Loan Approved
49.0	736.0	10.191	5.38	Loan Approved
36.0	691.0	2.771	8.243	Denied
46.0	759.0	10.1	5.142	Denied
54.0	690.0	12.835	0.0	Denied
46.0	798.0	5.439	13.515	Loan Approved
28.0	639.0	2.714	7.738	Loan Approved
32.0	671.0	10.446	14.205	Loan Approved
27.0	661.0	6.92	6.202	Denied
25.0	662.0	8.784	13.172	Loan Approved
36.0	723.0	7.312	5.46	Loan Approved
36.0	593.0	12.697	3.946	Denied
40.0	702.0	9.817	11.33	Denied
44.0	689.0	14.001	0.391	Denied
36.0	678.0	9.243	0.893	Denied
41.0	816.0	4.241	7.666	Loan Approved
28.0	770.0	2.418	5.512	Loan Approved
35.0	779.0	17.721	11.045	Denied
59.0	681.0	13.743	11.782	Denied
27.0	675.0	12.7	8.369	Denied
32.0	695.0	9.445	6.609	Denied
49.0	723.0	3.182	9.432	Loan Approved
58.0	717.0	1.159	3.845	Loan Approved
55.0	724.0	8.71	13.008	Denied
57.0	713.0	5.459	5.893	Loan Approved
27.0	789.0	11.489	11.278	Loan Approved
50.0	792.0	11.608	5.536	Loan Approved
47.0	770.0	0.0	5.789	Loan Approved
41.0	721.0	12.31	4.475	Denied
32.0	743.0	7.971	16.491	Loan Approved
44.0	652.0	0.027	1.356	Loan Approved
29.0	648.0	10.208	7.753	Loan Approved
34.0	691.0	8.691	0.561	Denied
38.0	749.0	5.75	9.723	Loan Approved
28.0	737.0	6.815	4.743	Loan Approved
24.0	588.0	9.075	9.858	Loan Approved
33.0	704.0	6.981	7.293	Loan Approved
56.0	642.0	0.369	7.651	Loan Approved
37.0	680.0	3.487	1.298	Loan Approved
36.0	667.0	9.168	9.707	Denied
36.0	782.0	2.03	2.261	Loan Approved
52.0	701.0	3.863	7.299	Loan Approved
53.0	744.0	2.525	9.439	Loan Approved
34.0	634.0	7.016	4.181	Denied
24.0	833.0	0.499	7.226	Loan Approved
32.0	741.0	11.856	14.36	Loan Approved
39.0	688.0	12.447	10.194	Loan Approved
36.0	723.0	3.123	6.72	Loan Approved
34.0	717.0	9.222	7.497	Loan Approved
27.0	676.0	10.373	3.99	Loan Approved
32.0	650.0	10.666	3.677	Denied
51.0	699.0	14.326	5.005	Denied
36.0	676.0	7.869	6.867	Denied
38.0	691.0	3.665	1.017	Denied
52.0	658.0	5.016	4.337	Loan Approved
44.0	599.0	8.406	1.061	Denied
44.0	705.0	8.687	6.744	Loan Approved
52.0	674.0	12.328	3.293	Denied
55.0	677.0	8.855	9.279	Loan Approved
27.0	712.0	7.634	9.314	Denied
49.0	692.0	9.128	1.059	Loan Approved
38.0	703.0	8.555	8.23	Loan Approved
43.0	621.0	14.09	1.619	Denied
26.0	684.0	8.351	2.361	Denied
36.0	647.0	10.606	1.204	Denied
47.0	708.0	11.451	6.165	Denied
58.0	656.0	13.734	7.596	Loan Approved
34.0	723.0	3.35	9.762	Loan Approved
25.0	675.0	7.657	12.72	Loan Approved
41.0	754.0	11.61	2.294	Denied
56.0	802.0	5.65	1.414	Denied
30.0	696.0	6.624	7.665	Loan Approved
28.0	658.0	15.599	3.955	Denied
44.0	678.0	11.013	1.903	Denied
54.0	670.0	7.549	7.35	Loan Approved
33.0	753.0	12.779	12.044	Denied
24.0	724.0	5.706	13.699	Loan Approved
57.0	730.0	6.578	11.818	Loan Approved
58.0	662.0	14.563	0.0	Loan Approved
35.0	720.0	3.388	4.666	Denied
42.0	682.0	6.752	1.086	Denied
45.0	663.0	8.532	4.397	Loan Approved
35.0	729.0	4.952	3.488	Loan Approved
32.0	713.0	12.453	10.916	Denied
48.0	663.0	6.606	5.87	Loan Approved
52.0	687.0	11.576	5.77	Loan Approved
56.0	794.0	8.164	12.133	Loan Approved
45.0	602.0	10.698	0.0	Denied
58.0	794.0	3.608	6.113	Loan Approved
46.0	693.0	15.801	9.642	Denied
25.0	727.0	5.727	3.29	Loan Approved
27.0	630.0	7.611	8.384	Loan Approved
34.0	675.0	6.94	10.509	Loan Approved
54.0	663.0	9.731	1.756	Denied
41.0	797.0	7.332	9.309	Loan Approved
50.0	636.0	8.819	2.175	Denied
50.0	698.0	1.029	7.069	Denied
39.0	651.0	8.518	2.676	Loan Approved
47.0	694.0	7.129	0.0	Loan Approved
37.0	741.0	0.0	8.207	Loan Approved
37.0	653.0	11.316	11.439	Loan Approved
54.0	657.0	8.527	1.342	Denied
32.0	700.0	10.848	7.787	Loan Approved
38.0	629.0	15.781	1.079	Denied
31.0	669.0	3.841	7.25	Loan Approved
59.0	719.0	11.145	9.704	Loan Approved
25.0	729.0	7.311	6.024	Loan Approved
28.0	672.0	6.491	10.057	Loan Approved
32.0	720.0	6.136	5.604	Denied
47.0	700.0	9.76	15.049	Loan Approved
51.0	673.0	9.699	4.407	Loan Approved
34.0	684.0	9.995	7.385	Denied
51.0	658.0	10.173	10.256	Loan Approved
35.0	736.0	11.034	8.136	Loan Approved
56.0	637.0	12.798	0.552	Denied
44.0	694.0	7.706	3.162	Denied
54.0	648.0	4.258	2.098	Loan Approved
51.0	850.0	7.882	4.483	Loan Approved
37.0	700.0	14.394	5.176	Denied
34.0	701.0	0.0	8.437	Loan Approved
27.0	760.0	8.914	10.726	Loan Approved
24.0	705.0	12.329	6.524	Denied
39.0	660.0	15.28	0.0	Denied
46.0	741.0	9.606	0.0	Denied
37.0	729.0	9.55	4.321	Denied
58.0	590.0	17.629	2.409	Denied
54.0	622.0	8.754	3.226	Denied
27.0	698.0	3.521	5.614	Loan Approved
27.0	737.0	8.039	2.792	Denied
46.0	653.0	4.253	9.39	Loan Approved
54.0	670.0	25.911	4.316	Denied
35.0	651.0	15.705	4.525	Denied
53.0	761.0	6.495	9.449	Denied
28.0	736.0	5.622	5.686	Loan Approved
57.0	651.0	11.368	2.76	Denied
38.0	769.0	10.094	12.444	Loan Approved
51.0	713.0	9.363	2.784	Loan Approved
33.0	612.0	14.615	7.986	Denied
56.0	636.0	9.178	12.553	Loan Approved
26.0	744.0	7.227	0.0	Loan Approved
42.0	644.0	7.935	12.073	Loan Approved
34.0	686.0	6.222	0.0	Denied
35.0	764.0	8.078	1.373	Denied
59.0	669.0	6.228	3.911	Loan Approved
54.0	744.0	8.191	11.997	Loan Approved
40.0	711.0	0.357	5.76	Loan Approved
37.0	710.0	8.884	9.391	Denied
52.0	725.0	6.809	3.389	Loan Approved
28.0	648.0	3.358	5.675	Loan Approved
28.0	645.0	9.527	3.623	Denied
30.0	680.0	11.308	7.004	Denied
58.0	732.0	6.573	10.638	Loan Approved
39.0	663.0	12.3	0.0	Denied
58.0	699.0	7.011	11.65	Loan Approved
49.0	637.0	14.37	10.206	Loan Approved
43.0	707.0	4.652	11.818	Loan Approved
34.0	787.0	3.639	7.776	Loan Approved
55.0	674.0	11.749	9.497	Loan Approved
36.0	758.0	12.608	11.959	Loan Approved
24.0	734.0	6.448	13.854	Loan Approved
50.0	661.0	3.412	8.172	Loan Approved
54.0	764.0	11.208	1.365	Denied
31.0	740.0	14.609	0.906	Denied
40.0	687.0	7.578	8.361	Loan Approved
50.0	668.0	6.824	2.264	Loan Approved
42.0	682.0	10.195	8.91	Loan Approved
24.0	721.0	13.062	8.537	Loan Approved
43.0	558.0	8.22	5.832	Loan Approved
55.0	658.0	16.293	10.061	Denied
30.0	787.0	9.623	3.595	Denied
28.0	661.0	7.957	3.778	Loan Approved
25.0	722.0	2.714	8.308	Loan Approved
59.0	695.0	3.459	8.993	Loan Approved
53.0	770.0	7.588	8.518	Loan Approved
44.0	644.0	7.497	4.229	Denied
25.0	735.0	6.715	9.788	Loan Approved
30.0	665.0	9.949	7.645	Denied
24.0	702.0	4.527	5.646	Denied
59.0	703.0	10.489	3.797	Denied
39.0	693.0	4.95	6.852	Denied
36.0	677.0	13.373	9.844	Denied
55.0	674.0	8.886	4.668	Loan Approved
42.0	666.0	4.197	3.47	Loan Approved
36.0	674.0	12.237	5.66	Denied
44.0	646.0	18.354	3.873	Denied
45.0	710.0	9.86	8.576	Denied
31.0	625.0	7.415	4.733	Denied
54.0	691.0	9.022	10.615	Loan Approved
50.0	784.0	11.157	7.201	Denied
53.0	766.0	4.452	12.092	Loan Approved
57.0	666.0	6.636	3.547	Loan Approved
54.0	732.0	9.056	1.832	Loan Approved
58.0	702.0	3.232	9.754	Loan Approved
35.0	738.0	0.0	10.227	Loan Approved
50.0	620.0	10.857	9.298	Denied
49.0	658.0	4.334	4.716	Loan Approved
38.0	743.0	0.842	10.875	Loan Approved
32.0	681.0	4.163	1.559	Loan Approved
39.0	653.0	12.73	3.019	Denied
36.0	689.0	16.048	0.229	Denied
59.0	698.0	9.49	10.594	Loan Approved
57.0	723.0	5.409	10.47	Loan Approved
43.0	648.0	11.216	7.368	Denied
47.0	753.0	13.27	5.687	Denied
30.0	673.0	8.48	6.219	Denied
47.0	609.0	11.03	8.679	Loan Approved
41.0	745.0	8.719	3.425	Loan Approved
26.0	678.0	17.925	6.298	Denied
59.0	667.0	8.458	5.147	Loan Approved
31.0	657.0	0.938	1.741	Loan Approved
38.0	705.0	9.393	4.887	Loan Approved
46.0	668.0	6.543	4.807	Loan Approved
28.0	581.0	7.94	8.374	Denied
24.0	684.0	9.283	12.549	Loan Approved
55.0	744.0	2.858	8.606	Loan Approved
41.0	643.0	7.772	4.497	Denied
42.0	645.0	8.328	0.452	Denied
28.0	773.0	1.419	6.95	Loan Approved
49.0	642.0	10.667	2.096	Denied
46.0	667.0	0.0	6.447	Loan Approved
48.0	708.0	5.909	11.226	Loan Approved
32.0	761.0	5.284	4.29	Loan Approved
55.0	678.0	4.954	1.567	Loan Approved
26.0	648.0	8.008	4.167	Denied
49.0	661.0	11.126	5.88	Denied
32.0	707.0	3.087	13.5	Loan Approved
27.0	727.0	8.943	11.503	Loan Approved
58.0	767.0	1.534	2.733	Loan Approved
36.0	681.0	9.454	9.193	Loan Approved
30.0	717.0	4.442	10.493	Loan Approved
54.0	666.0	8.02	8.475	Denied
39.0	695.0	9.494	0.0	Denied
28.0	666.0	8.545	0.682	Denied
34.0	678.0	12.049	4.189	Denied
29.0	671.0	8.383	3.454	Denied
30.0	733.0	13.283	5.841	Denied
25.0	645.0	8.533	5.934	Loan Approved
30.0	645.0	6.572	0.085	Loan Approved
47.0	638.0	4.494	3.083	Loan Approved
30.0	850.0	12.013	11.684	Loan Approved
57.0	727.0	1.185	12.602	Loan Approved
28.0	622.0	14.978	5.588	Denied
49.0	703.0	9.249	5.215	Loan Approved
26.0	738.0	5.177	9.692	Loan Approved
42.0	659.0	13.61	12.836	Loan Approved
48.0	703.0	3.567	4.568	Loan Approved
27.0	611.0	15.59	9.622	Denied
57.0	701.0	10.217	11.967	Denied
30.0	664.0	11.047	7.873	Loan Approved
25.0	733.0	4.43	8.471	Loan Approved
55.0	732.0	1.327	12.861	Loan Approved
38.0	688.0	0.0	3.218	Loan Approved
49.0	651.0	13.087	2.962	Denied
47.0	734.0	1.379	9.51	Loan Approved
54.0	686.0	9.962	6.916	Denied
46.0	841.0	6.751	13.675	Loan Approved
48.0	728.0	12.381	8.809	Denied
55.0	722.0	7.155	3.274	Loan Approved
59.0	715.0	8.287	5.521	Loan Approved
25.0	761.0	8.982	10.659	Loan Approved
59.0	791.0	10.171	5.492	Loan Approved
45.0	775.0	4.657	11.142	Loan Approved
27.0	713.0	5.336	3.722	Denied
35.0	645.0	8.627	9.471	Denied
44.0	763.0	7.919	4.371	Loan Approved
36.0	796.0	3.14	7.738	Loan Approved
46.0	672.0	8.036	9.008	Denied
58.0	689.0	6.6	6.585	Denied
37.0	652.0	17.971	10.139	Loan Approved
59.0	712.0	5.967	6.69	Loan Approved
45.0	802.0	4.016	7.248	Loan Approved
56.0	695.0	0.0	5.767	Loan Approved
25.0	676.0	10.245	7.16	Denied
29.0	615.0	15.822	7.423	Denied
55.0	692.0	3.263	2.525	Loan Approved
40.0	759.0	9.478	13.869	Denied
43.0	635.0	3.611	6.176	Loan Approved
34.0	656.0	13.667	12.101	Denied
31.0	710.0	9.248	3.707	Denied
44.0	850.0	5.746	7.138	Loan Approved
31.0	705.0	10.68	8.863	Denied
25.0	680.0	12.447	4.173	Denied
42.0	695.0	11.037	1.824	Denied
52.0	758.0	3.628	11.452	Loan Approved
44.0	675.0	6.613	7.35	Denied
27.0	759.0	10.99	0.0	Denied
41.0	756.0	3.411	6.854	Loan Approved
48.0	688.0	12.007	9.055	Denied
31.0	727.0	13.078	8.683	Loan Approved
33.0	689.0	8.216	0.0	Denied
26.0	659.0	11.148	10.378	Loan Approved
37.0	701.0	3.992	6.193	Denied
29.0	684.0	8.446	4.577	Loan Approved
59.0	687.0	10.562	4.453	Loan Approved
48.0	694.0	9.085	8.701	Loan Approved
52.0	725.0	6.465	11.011	Loan Approved
49.0	689.0	4.194	5.359	Loan Approved
